@relation quake

@attribute focal_depth numeric
@attribute latitude numeric
@attribute longitude numeric
@attribute binaryClass {P,N}

@data
47,-4.83,102.24,N
19,-4.83,102.04,P
69,-12.54,166.47,N
23,0.91,-26.71,N
128,-15.4,167.55,N
11,-24.91,-175.16,N
33,-24.2,-175.1,N
106,-7.54,128.76,N
0,70.84,53.53,N
0,73.33,54.93,N
61,6.54,126.81,P
39,-22.91,-70.48,P
0,49.91,78.92,P
62,42.05,142.66,P
48,12.47,126.01,N
117,13.82,144.79,N
405,-18.39,-177.88,P
30,12.5,126.06,N
44,13.83,125.07,P
35,12.91,125.89,N
69,-12.25,166.61,P
0,7.55,-77.5,P
411,-33.02,-179.96,P
51,-57.78,-25.52,P
11,19.46,-155.14,P
49,-14.92,-172.88,N
94,-11.54,-74.52,P
69,-7.01,155.75,P
33,-11.74,164.81,P
546,51.93,151.57,N
102,-4.07,142.11,N
33,-16.22,-172.47,N
18,-56.8,-68.42,P
23,-28.78,-177.39,N
101,-13.31,-74.94,P
5,66.25,-16.54,P
29,-29.48,-177.57,N
56,-29.02,-177.42,N
42,-29.64,-176.76,P
64,-30.01,-176.85,N
33,-32.67,-178.21,P
11,-32.65,-177.81,N
5,44.74,149.15,N
615,-7.46,119.89,N
54,-28.65,-177.38,P
48,44.62,149.69,P
68,-29.35,-177.29,N
48,17.15,-100.23,P
38,54.52,162.02,P
5,15.28,-89.19,N
37,-5.96,146.33,P
40,-57.39,-64.46,P
0,12.98,125.74,N
71,-6.36,154.84,P
9,-39.93,-74.89,P
50,-8.36,121.46,P
98,-14.77,167.12,N
25,-10.62,165.06,N
75,-29.92,-177.8,N
3,-30.6,-178.21,P
35,3.96,-85.88,P
21,-3.94,152.04,P
10,40.31,63.72,N
5,40.18,63.79,N
19,0.85,-79.63,N
19,28.7,52.12,P
19,-44.58,167.64,P
10,-29.93,-177.62,N
12,46.35,13.26,P
21,-7.47,154.68,P
21,-7.58,154.61,P
40,-51.6,139.76,P
32,-32.63,-178.19,P
146,-37.28,177.16,N
5,-11.62,-74.45,P
14,40.35,63.45,N
161,4.49,-75.77,P
72,-31.3,-177.67,P
198,3.69,125.14,P
112,-5.91,145.88,P
107,-5.6,154.29,N
164,-5.6,148.35,P
122,-5.02,153.65,P
56,-10.51,-78.3,P
3,24.51,98.95,P
27,-41.5,-75.34,N
96,-5.13,153.55,N
79,-10.08,161.06,N
36,-7.38,154.69,P
28,14.06,124.87,N
48,17.45,-100.65,N
36,0.52,134.75,P
21,24.79,125.98,P
1,3.4,96.28,N
35,0.53,134.84,P
33,-4.58,140.13,N
35,-4.34,139.86,P
26,3.78,126.81,N
33,-4.52,140.24,P
20,-33.78,-177.83,N
29,-29.51,25.17,P
0,49.85,78.97,P
33,-50.01,-115.1,P
402,47.31,145.75,P
25,7.48,-78.28,N
3,7.41,-78.05,N
37,-8.21,114.87,N
41,-8.17,114.84,P
62,-4.18,152.76,N
10,39.56,117.87,N
37,39.71,118.37,N
0,47.81,48.1,P
6,-30.32,-177.87,P
43,-20.59,169.31,N
31,26.7,97.04,N
9,32.78,104.09,N
146,-34.28,-176.53,N
8,6.22,124.11,N
33,7.18,123.55,P
52,7.33,123.54,P
44,7.35,123.42,P
33,10.09,125.9,N
17,7.22,122.99,N
165,-6.77,129.62,P
15,32.59,104.25,N
18,32.49,104.18,N
55,6.52,124.07,P
0,49.95,78.98,P
51,1.03,147.56,P
12,-9.2,148.17,P
51,44.78,149.21,N
0,73.41,54.5,P
40,6.93,124.04,P
16,-30.48,-177.42,N
20,-6.43,153,N
115,-10.45,161.34,P
196,36.5,70.58,P
33,-4.54,139.93,N
47,-29.36,77.65,P
64,8.52,126.41,N
32,6.98,123.89,P
44,38.12,142.26,P
27,39.5,117.73,N
33,-8.84,156.97,N
52,7.09,123.59,N
0,49.97,79.01,P
10,39.05,44.04,N
424,-19.5,-177.7,N
11,41.33,-125.66,P
190,36.52,71.05,N
70,-20.57,-68.93,N
0,49.87,78.89,P
370,-31.95,179.18,P
503,28.04,139.67,P
11,28.27,130.67,N
6,48.84,-129.13,P
47,23.41,143.71,P
112,-7.9,109,P
27,-2.51,126.68,P
43,38.19,90.97,P
33,-3.65,144.5,P
67,-24.93,-68.68,N
22,-41.74,174.3,P
15,37.02,95.73,P
55,5.04,126.63,P
20,40.11,70.86,N
555,-24.66,-63.39,P
31,-66.49,-82.45,N
33,-60.96,-22.96,N
49,0.54,126.05,N
46,33.15,141.06,N
33,-41.31,80.52,P
44,53.54,169.96,N
54,-6.26,147.59,P
52,6.74,123.74,N
86,45.83,26.72,N
556,41.66,131.05,P
56,-4.96,131.03,P
40,16.73,122.29,N
43,44.16,148.23,N
0,-21.89,-138.96,P
24,27.59,56.38,N
119,-14.76,167.11,P
23,27.57,56.3,P
33,-16.79,-172.02,N
49,-9.9,160.44,N
33,-9.97,160.59,P
33,-9.94,160.48,N
33,-9.76,160.69,N
33,-9.73,160.17,N
31,-10,160.77,N
63,-10.21,160.74,P
42,-10.31,160.74,P
53,-1.81,120.46,P
0,49.86,78.84,P
21,-14.02,-14.49,P
69,-22.91,-175.74,N
31,22.68,-45.11,P
109,-7.73,127.77,P
44,1.42,126.36,N
120,-56.17,-27.7,N
33,-53.82,158.84,N
37,16.86,122.39,N
48,-33.79,-179.58,N
17,-15.29,-173.07,N
3,-8.04,155.56,N
103,-56.11,-27.83,N
45,-10.58,161.35,P
53,-17.58,-174.39,N
62,-6.55,155,P
60,-7.89,107.55,P
36,46.76,153.63,P
54,-11.21,118.43,P
33,-11.16,118.41,N
39,-10.94,118.4,P
33,-10.89,119.17,P
33,-11.1,119.09,P
51,-10.88,119.26,N
33,-59.54,-20.59,N
4,-8.1,125.38,N
11,17.46,119.8,N
74,-11.04,119.17,P
59,-13.74,166.74,N
24,51.31,177.91,P
0,50.05,78.93,P
4,34.95,23.05,P
43,11.8,143.12,P
26,-1.92,126.64,P
34,-11.29,118.1,P
29,-9.99,117.29,P
24,-25.87,-175.37,N
33,-15.78,-173.01,P
33,-27.93,173.13,N
592,-27.96,-62.82,N
103,-6.21,146.66,P
33,-11.48,118.21,N
95,-10.2,161.16,P
4,-31.04,-67.76,N
33,-31.02,-67.51,N
0,-21.86,-138.94,N
26,-31.37,-67.79,P
17,-31.44,-67.44,P
0,49.93,78.89,N
64,-5.01,145.1,P
22,3.52,95.91,P
21,-31.24,-67.9,P
42,25.54,143.25,N
10,16.54,40.32,P
86,-5.13,151.79,N
125,-15.37,-71.71,N
19,18.79,121.91,P
50,44.56,149.58,N
24,34.8,139.22,N
20,-31.25,-68,P
112,-34.29,-70.38,P
46,-4.2,123.37,P
64,-5.39,151.73,N
81,-26,-177.24,N
80,-0.07,124.1,P
34,-30.63,-177.6,P
99,-8.7,124,P
60,38.83,142.03,N
537,-4.94,125.25,P
517,-4.88,125.35,N
49,29.33,130.53,P
33,-26.6,-114.59,P
75,-4.66,153.06,N
436,31.93,137.62,P
441,31.99,137.61,N
278,26.45,140.76,N
47,-22.91,-175.3,P
60,43.86,148.84,N
53,43.99,148.91,P
36,44.22,148.87,N
45,44.09,148.68,P
56,44.27,148.9,P
82,44.7,148.17,N
48,44.41,149.58,N
48,44.3,149.6,N
28,29.68,-67.45,N
62,44.11,148.62,N
34,42.84,78.6,N
70,-8.62,125.07,P
33,-27.97,-70.3,P
97,-19.63,169.1,P
62,-4.94,133.99,N
51,10.06,-77.89,P
2,44.38,149.42,P
59,-11.39,116.68,N
12,-9.43,148.94,P
10,56.52,-152.61,P
118,5.14,127.44,N
230,36.64,71.26,P
37,4.69,124.61,P
54,-5.92,103.92,P
49,-9.88,160.5,N
70,-37.84,176.73,N
182,-14.6,167.31,N
43,-0.74,127.33,P
160,31.07,130.1,N
28,51.24,-179.25,P
30,24.29,142.7,P
22,-1.05,146.48,P
33,40.4,63.66,P
0,49.88,78.81,P
48,38.23,142.02,N
39,38.38,142.41,P
29,8.28,122.43,N
41,8.24,122.36,P
153,7.85,126.38,N
0,-17.06,-172.28,N
3,40.78,23.24,N
380,48.27,148.66,P
37,-5.05,102.38,P
0,-5.07,102.33,P
25,-15.27,-175.45,P
27,-18.27,167.99,P
0,49.84,78.92,P
43,0.55,126.24,P
11,52.26,-168.84,P
305,-14.95,-175.81,P
45,-4.2,152.84,P
34,22.19,121.42,N
37,-20.64,172.57,P
49,-26.52,-70.66,N
16,-0.14,131.79,P
0,73.31,54.7,P
57,-59.8,-26.33,P
39,-30.62,-178.07,N
8,-47.53,32.26,P
0,49.98,79.02,P
37,-7.53,156.5,P
116,24.81,121.87,N
215,-13.35,167.13,P
44,-30.57,-178.06,P
0,49.91,78.94,N
48,48.21,154.33,N
34,33.37,57.44,N
217,-13.94,167.18,N
138,-14.92,167.14,P
50,39.4,74.76,P
50,33.47,140.95,P
0,47.81,48.09,P
61,-5.45,152.02,P
7,39.34,72.56,P
37,37.71,48.95,N
42,-11.21,162.13,P
39,-11.14,162.16,N
27,47.79,146.54,P
63,-10.92,162.16,P
0,49.93,78.77,N
23,16.07,-96.55,N
0,-21.85,-139,P
85,-10.22,161.48,P
118,44.55,146.67,N
465,-7.08,117.95,P
36,7.33,123.4,N
40,0.55,126.06,N
0,47.78,48.14,P
7,-8.27,121.38,P
47,23.17,122,N
10,33.96,59.53,P
0,47.87,48.06,N
38,-30.02,-177.47,P
45,17.53,-100.79,P
35,-18.52,168.15,P
12,54.8,-161.29,P
54,0.02,126.01,P
114,5.23,127.36,N
149,6.01,126.01,P
135,-15.57,167.57,P
48,-13.61,166.66,N
42,-16.52,-72.6,N
46,40.22,143.55,P
17,60.73,-141.55,N
4,1.02,120.4,P
3,17.76,-101.3,N
75,18.02,-69.03,N
24,41.95,83.38,P
38,3.02,127.01,N
4,42.05,19.05,N
545,5.66,123.59,P
108,-0.05,123.03,P
596,-20.82,-178.67,P
30,9.3,125.57,P
77,-21.22,169.72,N
123,-6.38,105.93,P
256,19,145.42,P
51,-22.95,-69.09,P
598,24.13,142.41,P
27,0.66,126.08,N
55,56.65,-156.72,N
209,-15.44,-70.05,P
46,52.68,-166.97,N
111,36.45,31.72,P
54,-24.6,-70.18,P
40,-8.32,115.92,N
6,-30.73,117.21,P
31,8.14,-38.12,P
109,-56.02,-27.98,P
87,-6.55,147.28,P
15,38.79,26.57,P
108,17.04,-94.61,N
9,49.88,78.92,N
190,-5,145.58,N
30,-19.86,-173.04,P
0,7.11,-82.31,P
62,43.88,146.72,N
51,-32.16,-71.4,N
0,50.05,79.06,P
74,33.87,131.91,P
32,-11.16,107.72,N
0,-21.86,-139,N
0,49.86,78.94,N
204,-22.86,-177.47,N
56,34.57,140.37,P
73,-4.86,153.5,P
566,41.85,130.87,P
0,49.93,78.98,N
231,36.48,70.15,P
43,8.95,-83.49,N
13,10.72,-41.68,N
43,19.05,122.12,N
56,53.97,-165.22,P
33,-1.71,136.05,N
28,-1.18,136.49,P
28,53.64,169.74,P
50,3.48,128.06,P
6,42.8,13.04,P
38,52.23,174,P
3,-60.57,-50.35,P
46,45.09,76.96,P
54,-19.09,168.71,P
35,-2.84,119.57,P
10,1.16,94.2,N
69,-7.17,106.1,P
33,-46.54,165.91,N
601,18.49,145.39,N
24,-1.18,136.59,P
60,51.82,177.12,N
0,73.34,54.73,P
37,-8.4,115.83,P
26,0.66,126,N
17,-10.68,161.35,N
33,-10.58,161.75,P
0,47.79,48.11,P
0,49.96,79.07,N
25,-1.2,136.61,P
71,-13.4,166.7,N
94,-7.76,108.18,N
92,17.89,-68.61,P
24,-9.5,159.26,N
62,-13.32,166.69,N
50,-4.43,102,N
32,-23.61,-174.85,N
3,34.03,59.81,N
36,-16.73,179.99,N
19,-1.94,134.17,N
115,5.89,125.33,N
120,-31.34,-178.72,P
105,4.81,-76.2,N
1,-18.93,-176.52,P
9,34.08,59.8,N
0,49.88,78.84,N
0,34.14,59.92,P
126,28.95,140.94,N
28,1.62,-79.34,N
30,-3.41,102.58,P
0,49.92,78.8,N
56,3.56,126.86,P
33,-4.69,-105.74,P
64,1,126.02,P
0,38.75,-27.75,N
72,6,126.13,N
42,51.31,-178.5,P
36,-17.62,-171.16,P
45,-7.89,156.24,P
0,-54.21,158.78,N
62,-4.7,153.17,P
74,36.47,76.86,N
54,44.51,149.55,P
54,-10.68,161.66,P
49,43.47,146.59,N
35,43.14,146.88,P
2,43.22,146.9,P
52,-6.02,150.12,P
55,-6.04,150.01,P
112,6.33,126.9,N
36,-22.67,171.42,P
25,52.94,-167.7,N
33,52.78,-167.8,N
0,23.86,-45.57,P
494,-4.63,154.89,P
46,16.09,121.94,P
66,9,126.27,P
102,-23.53,-177.27,N
33,-10.87,164.22,N
75,-8.05,108.79,P
38,51.21,173.62,P
57,34.5,140.42,P
38,-14.52,167.93,P
62,-6.03,154.56,N
70,-5.96,154.43,P
0,37.59,-118.8,N
73,-19.42,-69.33,N
55,-18.61,-174.7,N
168,-7.37,128.58,P
56,-5.19,152.19,P
37,-15.25,-173.53,P
29,9.5,126.6,P
16,-30.18,-177.91,N
0,-58.07,-10.68,P
59,-5.24,151.71,N
19,34.81,139.29,P
185,6.63,125.77,P
29,-12.49,166.37,P
48,39.29,22.91,P
55,-29.32,-177.24,P
88,-4.45,143.53,N
97,-29,-69.69,N
0,-21.86,-139,P
588,-17.89,-178.6,N
76,-12.3,166.5,P
131,-20.3,169.61,N
53,-13.09,166.34,P
23,29.63,81.09,N
9,15.93,-88.52,P
39,-15.22,-173.52,N
0,49.94,78.86,N
69,35.53,140.15,P
52,-3.25,142.33,P
128,-15.09,167.31,P
64,-6.3,154.81,P
44,-5.34,103.12,P
0,36.16,1.4,N
3,36.25,1.61,N
0,49.94,79.1,P
117,-6.11,145.54,P
74,-6.22,154.85,P
46,-21.95,170.09,P
65,18.22,-98.2,N
32,-22.3,170.39,P
60,11.78,125.5,N
37,-22.25,169.55,P
5,41.15,-124.3,P
0,-51.49,28.98,N
33,19.57,-69.58,P
1,27.4,88.8,N
0,40.86,15.33,N
221,-19.44,-175.83,N
77,-21.35,-68.1,P
0,49.87,78.97,P
30,-17.59,-172.31,N
84,-21.4,169.87,N
0,49.44,-129.57,N
31,-21.25,-174.41,P
82,30.63,140.85,N
33,-16.29,178.2,P
0,50.01,79.03,P
45,45.98,151.47,N
229,29.28,128.1,N
27,-61.11,-55.54,P
38,38.61,142.91,P
49,38.71,142.75,N
24,-4.56,139.28,N
35,38.28,142.71,N
110,42.48,142.15,N
30,38.18,142.87,P
10,-29.68,60.83,N
22,51.82,176.15,N
6,53.02,162.41,P
23,44.61,149.38,P
41,-22.11,174.76,P
79,-6.04,148.77,P
18,38.23,22.97,N
59,-13.77,166.5,P
32,38.24,23.26,P
33,3.93,-85.88,P
53,18.82,-103.95,P
228,-5.43,146.76,P
109,-19.52,-69.01,P
45,3.43,128.01,N
544,-27.28,-63.27,P
22,45.59,152.24,P
0,14.23,119.13,P
28,37.28,142.28,P
0,49.87,78.9,N
45,-13.4,166.44,N
522,-23.7,179.99,N
49,43.23,149.94,N
217,36.41,71.15,P
36,-1.96,-80.99,P
223,42.65,139.2,P
75,-5.14,154.74,P
140,5.82,126.98,P
0,-48.55,164.7,P
139,-14.75,167.28,P
81,-5.68,151.47,N
0,-49.13,164.63,P
10,-36,-17.08,N
54,44.66,148.92,P
316,16.57,145.48,P
31,29.89,57.72,N
114,-22.29,171.65,N
140,-15.44,167.48,P
11,29.99,57.77,P
41,-21.61,169.66,P
76,-5.18,151.75,P
67,-2.76,139.18,P
102,-22.09,170.9,N
3,48.71,157.37,N
33,-22.89,-175.82,P
74,-5.32,151.52,P
20,-15.08,-173.12,N
21,43.53,147.04,N
37,-21.5,169.61,N
18,30.66,141.78,P
30,35.68,73.6,N
0,49.89,78.98,N
10,24.84,-46.29,P
172,18.34,-68.86,P
101,-6.39,130.72,P
45,-22.22,170.48,P
23,-30.18,-177.96,P
274,-29.41,-179.03,N
10,-4.76,-112.01,P
0,73.32,54.55,N
12,-33.82,-179.44,P
15,50.72,160.4,P
18,-4.52,146.2,N
38,-9.42,159.34,P
606,-20.7,-178.65,P
62,-6.43,154.88,P
31,-11.4,66.3,P
62,-9.98,162.06,P
53,40.3,142.33,N
18,-33.15,-73.1,N
189,-7.11,129.06,N
0,49.88,78.89,N
28,18.18,-102.01,N
10,-31.38,-110.79,P
10,43.56,-127.7,N
21,-20.01,-174.23,N
15,-3.52,143.86,N
57,-32.17,-71.43,N
7,-2.3,22.83,P
39,18.75,120.86,N
38,42.98,146.2,P
594,-20.81,-178.87,P
43,-37.23,179.81,P
35,-6.14,152.03,P
10,23.96,125.92,N
64,-6.39,154.92,P
90,-56.4,-26.54,P
10,39.22,25.25,N
20,-30.01,-177.63,P
8,-30.03,-177.73,N
0,49.9,78.86,N
0,-2.11,139.79,P
30,26.84,142.74,N
607,18,145.67,N
192,-23.1,-177.27,P
177,-12.11,166.67,P
36,-3.41,177.55,P
10,46.99,-66.65,P
38,13.85,124.32,N
36,14.01,124.37,P
10,13.15,-87.56,P
23,-9.53,152.21,N
21,-9.55,152.21,P
10,39.96,24.39,P
25,31.68,82.28,N
62,53.26,-165.65,N
65,16.73,-61.44,P
200,-22.69,-66.62,P
34,-10.89,166.01,P
46,33.67,141.17,N
117,22.33,143.59,N
12,-25.19,-175.55,P
105,-56.05,-27.37,N
33,-9.52,118.35,N
27,42.23,142.46,N
196,-18.54,-175.12,P
10,-52.89,-46.98,P
36,-31.55,-178.6,N
85,-12.74,-76.04,N
55,-6.41,147.65,P
199,0.09,123.31,P
86,-15.86,-172.97,P
43,19.89,120.54,N
42,-28.21,-114.06,P
9,19.9,120.49,P
0,49.87,78.92,N
101,-0.61,123.28,P
10,-60.75,-20.95,N
26,-20.24,168.2,P
15,-3.36,177.4,P
40,48.82,154.93,P
46,55.07,165.4,P
22,7.79,135.76,P
47,38.76,142.22,P
44,-41.41,-74.97,P
33,-18.11,-172.51,N
56,51.57,-177.37,P
19,16.51,-98.25,P
20,16.58,-98.34,N
80,-5.66,150.99,P
125,-17.61,-174.45,N
59,-4.7,103.04,P
83,13.29,-89.39,N
449,-7.33,126.08,N
10,-55.42,160.23,P
45,44.56,151.03,N
51,51.39,-179.94,N
0,49.97,78.86,N
554,27.9,137.04,N
10,-51.15,160.64,N
37,36.36,141.63,N
18,51.76,176.08,N
43,13.81,146.36,P
28,-12.59,166.11,P
55,-11.16,115.42,N
58,-4.34,153.12,P
106,-5.05,143.96,P
1,33.71,22.94,N
10,6.75,-82.72,N
43,36.4,141.44,P
52,-2.71,-79.88,P
42,43.85,148.32,P
42,-15.36,-173.09,P
45,-25.55,-176.24,P
179,29.4,140.43,N
153,-14.53,-70.8,P
543,-23.45,-179.87,P
42,-24.39,-176.65,N
40,-15.61,168.01,P
511,-7.17,125.81,N
96,-6.61,101.7,N
190,-1.73,-76.73,P
14,-10.61,-74.69,N
34,-3.72,140,P
0,49.89,78.86,N
103,-9.87,161.18,P
38,-9.28,158.21,P
18,14.67,44.23,P
35,36.13,68.98,N
88,24.56,122.53,P
40,-24.15,-175.97,P
49,-57.44,-25.77,P
20,33.9,139.45,P
13,19.93,121.34,N
55,-15.43,-173.3,N
228,-5.45,147.05,P
14,38.07,20.25,N
55,-57.98,-24.35,P
50,16.14,-95.25,N
81,12.91,93.59,N
208,-30.44,-179.3,N
40,-29.69,-177.73,N
41,10.54,140.96,P
46,55.03,-159.19,P
37,54.99,-159.24,N
569,8.73,124.03,P
68,5.6,126.3,N
103,-18.65,-69.38,N
48,49.23,155.56,P
26,44.06,148.09,P
29,-3.49,177.64,P
21,43.76,147.45,N
72,-6.99,147.39,P
25,-4.05,127.9,P
26,-4.07,127.9,P
94,-4.89,153.57,N
74,-4.67,153.25,P
83,-21.59,-175.32,N
36,-6.48,154.64,P
44,8.8,-83.11,N
82,5.71,94.72,N
52,52.92,159.81,P
51,49.41,155.58,N
137,-15.04,167.28,N
32,11.4,57.52,P
38,10.43,-62.71,P
102,-4.84,-78.09,N
64,-6.52,154.94,P
56,53.38,160.3,P
11,-10.19,110.84,P
45,27.78,62.07,N
32,14.92,99.05,P
33,-24.01,-175.9,P
9,41.5,143.84,N
24,46.41,153.39,N
7,36.24,-120.27,N
25,-33.89,179.52,P
116,-5.39,150.94,N
33,47.41,152.26,N
0,-21.85,-138.94,P
16,40.48,139.09,N
35,40.83,139.33,P
135,-16.96,-174.61,N
600,-9.52,-71.22,P
22,40.25,139.01,N
31,40.22,139.04,N
46,51.42,-174.11,N
0,49.91,78.97,N
125,1.55,127.32,P
6,41.35,139.1,N
43,24.13,122.39,P
159,29.74,129.38,P
18,21.77,103.31,N
48,24.17,122.39,N
14,60.22,-141.27,P
222,20.19,122.41,N
38,-22.59,171.02,N
10,-7.41,27.88,P
10,-60.91,-53.1,P
37,61.04,-147.37,N
46,5.54,126.47,P
9,36.21,-120.36,N
190,53.91,158.36,N
10,-20.13,-126.94,P
175,20.45,122.14,N
2,40.14,24.75,N
43,35.48,139.05,P
108,1.8,127.28,P
64,-8.69,111.17,P
94,55.79,161.33,N
26,18.23,120.8,N
0,73.38,54.87,P
56,3.73,126.64,P
128,33.51,131.51,N
20,-16.68,-172.05,P
73,-17.44,-69.96,P
43,60.97,-147.47,N
205,36.52,71.1,P
167,18.12,145.83,P
515,-23.98,-179.8,N
16,-16.64,-177.38,N
44,24.08,122.16,N
35,24.02,122.26,P
10,-3.61,151.2,P
0,73.35,54.38,P
12,33.95,139.51,P
5,-26.55,-70.62,N
0,49.91,78.83,N
13,-26.16,-70.59,P
7,-8.12,156.35,N
8,1.09,121,P
55,-23.74,-70.23,P
30,-20.57,-173.84,P
10,37.59,-17.41,P
24,-60.75,-25.6,N
33,-60.46,-24.91,N
44,-60.69,-25.41,N
7,1.16,120.89,P
0,49.89,78.9,N
10,44.1,-113.81,N
16,40.35,42.18,N
57,-9.1,119.09,N
89,-4,-79.4,P
4,19.5,-155.44,N
5,43.75,148.35,P
34,-7.49,130.59,P
39,0.48,-79.79,N
183,-7.47,128.2,N
19,-40.45,155.57,P
52,41.8,142.77,P
10,-6.85,72.04,N
33,-6.61,71.41,P
68,14.07,-91.95,P
18,-15.37,-173.03,N
34,-6.5,71.4,N
44,3.74,148.97,P
33,8.14,137.21,N
158,-7.63,127.34,P
103,-33.09,-70.15,P
63,-3.21,145.43,P
10,-2.38,145.06,P
592,-28.14,-63.15,N
599,-27.97,-62.9,P
42,-5.51,151.91,P
11,11.85,-13.51,N
209,36.42,70.75,N
386,33.62,136.8,N
0,45.4,151.31,N
43,-2.83,118.76,N
112,-3.88,-78.47,P
48,36.47,141.24,P
26,-3.92,-81.41,P
326,-23.68,-178.3,P
38,29.28,130.44,P
164,36.48,71.05,P
568,49.05,146.63,P
45,34.57,70.47,P
4,-9.96,160.5,N
192,36.47,70.86,P
164,-6.6,130.15,P
0,49.86,78.81,P
88,-17.32,-70.53,P
656,8.17,123.77,N
454,29.35,138.92,N
89,-38.27,177.22,P
15,40.35,63.36,N
41,49.16,155.31,P
0,49.87,78.97,P
15,17.38,-59.63,P
185,-18.95,168.89,P
33,-21.05,168.71,N
135,-15.88,-174.35,P
578,50.06,148.77,P
399,47.44,146.73,P
398,30.89,138.48,N
0,49.91,78.91,N
21,-6.79,71.48,P
10,-51.88,161.08,P
0,49.92,79.03,N
19,-10.83,164.23,P
171,-4.86,151.55,N
50,-30.68,-71.2,N
267,-15.83,-174.8,N
95,-15.66,-72.45,P
25,35.31,23.29,P
10,-58.47,-15.97,N
20,18.02,-69.3,P
46,16.82,-98.46,P
53,-6.1,154.44,P
537,-5.76,111.29,P
0,49.85,78.92,N
93,-56.44,-27.43,P
41,28.11,129.52,N
58,-6.55,154.98,P
26,1.35,126.4,P
0,50.33,-176.86,P
260,-0.07,122.52,N
45,32.39,131.96,N
49,27.47,128.58,P
27,-33.28,-179.28,N
15,-17.9,172.12,N
5,40.39,-126.8,N
18,35.78,137.49,N
20,34.01,141.64,N
41,16.8,147.17,P
10,34.02,141.66,P
107,13.84,145.38,P
21,-25.88,-175.9,N
10,-31.6,-110.85,P
26,15.05,-94.28,N
80,-15.75,-173.65,N
180,-24.05,-66.84,P
0,73.37,54.84,P
58,1.65,126.32,P
7,39.16,71.35,P
0,49.92,78.83,N
162,5.76,125.61,N
177,-17.15,-174.07,N
10,8.16,-38.77,N
0,55.18,163.57,P
10,-18.85,67.33,N
119,-22,170.91,N
42,0.22,98.05,N
422,-18.7,-178.04,N
218,5.13,125.17,N
10,-30.9,-13.53,P
647,-17.74,-178.05,P
33,-7.97,102.27,P
25,-14.32,171.29,P
114,-8.16,-76.12,P
0,49.95,79.03,P
10,20.33,-115.79,N
36,44.15,148.2,N
10,-1.39,-15.02,P
0,49.88,78.82,N
0,49.83,78.71,N
0,56.19,163.31,N
12,-36.67,177.64,N
25,10.21,-80.03,N
179,0.2,123.63,P
47,24.11,122.48,P
27,-3.66,141.74,P
3,-0.95,128.47,P
2,-7.49,130.18,P
41,-33.07,-68.58,P
123,32.55,131.19,P
10,-46.01,165.16,P
61,-17.54,-174.44,P
37,-20.54,-174,P
0,49.87,78.84,P
113,-10.25,161.11,N
56,27.49,128.48,P
44,-33.14,-71.84,P
33,-32.95,-71.6,P
33,-33.24,-71.78,P
77,-33.76,-71.19,P
36,55.2,161.95,P
12,66.22,-149.98,P
10,43.5,-127.62,P
20,16.98,-62.46,N
40,-32.68,-71.63,P
14,7.76,123.52,N
40,-33.15,-71.69,P
45,-6.61,105.4,P
48,-34.14,-72.1,P
138,44.38,146.71,P
165,40.32,140.38,N
46,-32.64,-71.67,P
475,28.27,139.55,P
14,-4.1,136.28,P
61,-34,-71.45,N
97,-35.63,179.01,P
88,-9.19,114.26,N
36,1.65,126.5,N
75,-5.16,130.45,P
181,15.32,120.63,N
0,49.88,78.96,P
10,-39.71,-75.7,N
613,-9.21,-71.22,P
0,-37.62,179.46,P
27,-5.59,151.07,N
30,-29.04,77.78,P
54,53.57,160.53,N
49,54.04,160.93,P
33,-15.3,-173.47,N
110,4.92,127.53,N
10,0.97,-28.44,N
0,49.85,78.87,N
17,30.29,132.72,P
0,49.84,78.69,N
46,-4.44,152.81,N
28,-17.23,167.83,P
45,-29.7,-177.78,P
0,49.92,78.8,N
17,-6.24,148.74,P
33,-60.3,-27,P
102,36.21,70.9,N
107,36.19,70.81,N
34,7.46,123.47,P
22,16.93,120.19,P
24,11.15,140.23,P
29,54.15,168.69,P
52,37.77,141.77,N
45,-9.16,-78.88,N
7,39.49,75.27,N
629,-21,-178.99,N
30,-15.35,-173.54,P
27,39.36,75.44,P
63,17.98,-97.16,N
29,18.54,-102.32,N
42,17.81,-101.69,N
16,-34.61,-178.57,N
33,-9.81,159.85,N
11,-22.08,-174.6,P
10,62.22,-124.27,N
104,-6.76,107.04,N
30,54.73,-159.65,N
103,-21.55,-176.39,N
10,40.32,69.82,P
25,37.65,136.9,P
254,46.29,146.27,P
14,-11.12,125.15,P
107,-31.37,-68.61,P
595,-7.08,124.28,P
13,36.74,54.81,N
20,-9.57,150.97,N
0,53.21,-166.92,P
49,-35.21,-179.32,N
17,7.73,137.02,P
52,27.94,140.61,P
10,-1.83,134.84,P
0,-21.86,-138.92,P
33,-14.03,166.22,N
43,-13.98,166.19,N
441,26.96,140.48,P
25,3.69,126.65,P
31,11.71,-85.86,P
44,-14.06,166.23,N
52,-13.98,166.51,N
51,-30.67,-178.03,P
6,62.19,-124.27,N
10,-35.1,54.26,N
25,-5.75,104.18,P
116,-5.53,150.69,P
33,-5.61,131.43,P
144,-21.37,170.31,N
13,51.54,-173.11,P
97,-10.16,161.01,P
527,27.87,139.51,P
51,36.43,140.98,N
41,24.02,122.23,P
