@relation houses

@attribute median_house_value numeric
@attribute median_income numeric
@attribute housing_median_age numeric
@attribute total_rooms numeric
@attribute total_bedrooms numeric
@attribute population numeric
@attribute households numeric
@attribute latitude numeric
@attribute binaryClass {P,N}

@data
94600,3.3371,36,2707,550,1827,545,38.02,P
181800,3.6154,5,1560,369,1037,372,38.02,P
117800,3.1389,31,3644,746,2229,678,38.02,P
140300,4.1947,16,2605,440,1352,408,38,P
150000,2.7374,9,5329,1284,2827,1202,38.01,P
134400,4.2227,30,4114,743,1994,722,38.01,P
151900,5.3098,22,721,117,367,129,38,P
165200,3.5857,4,4075,927,2239,849,38,P
161700,5.25,16,3216,464,1504,453,38,P
170500,4.1016,4,2171,597,928,461,37.99,P
174200,5.5676,16,3787,515,1606,507,37.99,P
144100,4.8542,17,2713,442,1475,415,38,P
163900,4.9783,15,2203,312,1051,311,37.99,P
103900,3.0042,28,3639,751,2362,641,38.01,P
122200,2.1417,12,1497,360,943,341,38.02,P
136000,4.6628,16,2604,454,1696,481,38.01,P
156500,5.102,8,2750,479,1526,484,38.02,P
99200,4.0972,32,1000,188,663,212,38.01,P
110600,3.5129,34,3779,766,2356,722,38.01,P
162200,4.1094,14,1930,363,990,322,38,P
177500,6.0497,14,2677,368,1288,375,38,P
166000,6.1237,7,1632,248,879,262,38.01,P
160800,5.3363,9,2294,389,1142,365,38.01,P
154800,5.1337,13,1524,286,940,308,38.02,P
143100,4.0767,5,5526,1102,3207,1012,38.03,P
87100,1.4871,27,1654,478,1141,420,38.03,P
95300,3.016,35,2691,542,1409,505,38.02,P
100700,2.1013,9,3360,833,2041,810,38.02,P
113900,2.7907,29,5765,1170,3266,1131,38.02,P
100200,3.5436,16,2176,464,1410,434,38.03,P
125000,4.2067,16,1840,355,1288,338,38.02,P
129800,3.4817,15,2966,558,1687,527,38.02,P
83500,2.5833,38,2505,554,1595,498,38.04,P
139800,3.7043,17,3685,685,1939,649,38.03,P
98500,3.3661,31,2810,518,1640,503,38.05,P
156900,4.8693,44,1465,247,817,237,38.02,P
165900,6.0424,4,2341,408,1235,431,38.03,P
133900,2.0523,44,1625,432,825,385,38.02,P
225000,2.5795,42,118,34,54,30,38.03,P
166000,2.9583,52,2378,508,940,451,38.02,P
144800,1.8523,48,2123,494,859,474,38.01,P
178300,4.5,50,1760,341,741,316,38.01,P
139300,2.1974,51,1262,309,608,298,38.01,P
150800,2.5481,33,2821,652,1206,640,38,P
196100,5.1265,40,1800,290,761,277,38.02,P
116100,3.1711,39,1313,306,575,231,38.01,P
129400,3.3831,41,1345,272,718,283,38.01,P
166400,4.2042,20,6992,1404,3221,1334,38,P
126500,3.9519,50,1300,263,691,239,38.01,P
135700,3.609,50,1738,355,837,363,38.01,P
172400,4.1189,42,2225,367,864,381,38.01,P
113700,3.8824,37,1742,339,1128,345,38.02,P
159700,3.6523,28,4308,824,2086,776,38.02,P
156300,3.625,37,978,202,462,184,38,P
204200,5.2015,6,10191,1882,4377,1789,38,P
212600,5.76,9,3424,583,1460,543,38,P
199900,5.0509,19,4657,739,1914,732,37.99,P
205400,5.4496,19,3073,506,1773,493,37.99,P
206700,5.1297,16,3913,710,1782,676,37.99,P
287700,4.3875,10,2864,514,1300,507,37.99,P
245200,6.6579,9,2643,439,1105,467,37.97,P
294100,6.9961,5,5303,779,2017,727,37.97,P
297300,6.135,11,4371,679,1790,660,37.98,P
211000,5.6875,14,5381,871,2296,872,37.98,P
225400,4.675,33,1660,277,741,261,37.99,P
269600,5.6931,18,4326,655,1753,646,37.97,P
228200,4.3571,20,3796,650,1679,611,37.96,P
235500,6.3699,25,1374,206,569,235,37.96,P
166900,4.5401,28,3310,574,1811,597,37.99,P
186100,4.0154,12,6915,1639,2940,1468,37.98,P
211800,3.7262,20,1705,353,856,341,37.97,P
197100,5.0172,34,1692,290,836,289,37.96,P
189600,4.2917,37,1784,313,788,304,37.96,P
266000,6.0859,21,9135,1534,3748,1502,37.96,P
186400,4.7386,36,2213,386,950,370,37.95,P
190000,4.5893,39,2199,388,1025,385,37.95,P
243000,5.0672,24,3173,548,1351,536,37.95,P
235600,4.8702,33,1043,157,425,148,37.95,P
196200,5.0445,37,1217,199,552,194,37.96,P
182000,3.9816,10,7136,1691,2959,1507,37.96,P
169400,4.175,34,1408,277,738,269,37.95,P
179300,2.5459,22,4162,1194,1804,1185,37.94,P
235700,2.5268,19,4005,972,1896,893,37.94,P
205100,3.5057,36,2639,488,1111,476,37.94,P
220800,2.892,30,1260,276,707,221,37.94,P
233200,5.0761,35,4043,689,1832,662,37.93,P
232100,4.725,44,2185,357,943,366,37.94,P
265700,4.475,43,1454,234,683,258,37.94,P
247900,6.0265,32,1339,209,601,209,37.95,P
273200,6.1922,29,6895,1022,2634,1022,37.94,P
91100,3.2484,16,3077,733,1447,709,38,P
134500,3.2,32,1504,279,749,267,37.99,P
136200,4.125,36,2765,495,1478,441,37.99,P
250000,6.1359,16,60,10,65,19,37.97,P
87500,2.8043,16,2445,469,721,474,37.99,P
137500,1.8229,17,1319,316,384,269,37.99,P
136400,3.7333,36,2476,472,1213,393,38,P
75000,2.3462,16,1085,217,356,232,38,P
156300,1.3894,16,1209,477,627,482,37.98,P
140600,2.3152,10,974,316,631,286,37.97,P
178300,5.7295,25,3577,581,1753,593,38,P
175900,4.5707,27,3228,562,1666,588,38.01,P
139900,3.8897,38,2675,541,1378,480,37.99,P
138200,3.6042,45,2842,567,1261,535,37.98,P
178200,4.6375,28,2965,533,1591,472,38,P
169300,4.9022,35,3103,537,1614,566,37.99,P
161900,4.45,37,2247,416,1237,397,37.99,P
166600,4.59,37,1755,327,882,350,37.99,P
148900,3.4531,44,1254,252,498,217,37.98,P
165500,3.5179,25,1476,336,777,297,37.98,P
194000,4.317,29,2001,373,956,370,37.98,P
226900,5.1118,32,1013,169,436,173,37.98,P
202800,5.1021,27,2491,428,1171,431,37.97,P
211500,3.6449,32,3012,527,1288,512,37.97,P
165500,2.8456,40,1797,401,756,369,37.98,P
161700,3.4187,37,1474,343,782,331,37.98,P
192300,5.4607,28,4035,641,1881,659,37.99,P
193200,5.0915,31,2030,337,867,341,37.98,P
184000,4.4536,23,2293,411,969,399,37.98,P
217200,6.2135,28,2839,428,1372,443,37.97,P
182000,4.9219,35,1192,201,535,172,37.98,P
161300,4.525,36,404,77,237,88,37.98,P
161000,4.0507,34,1256,267,638,252,37.98,P
144900,3.7841,28,1900,401,918,351,37.99,P
259500,6.1436,18,2739,393,1072,374,37.96,P
210500,6.1168,27,1691,289,807,296,37.97,P
244100,5.0092,24,1330,183,656,205,37.97,P
184800,4.7891,28,1433,290,877,313,37.96,P
229200,5.2145,28,1838,273,899,270,37.96,P
196100,3.6133,7,3418,740,1583,676,37.95,P
204100,3.65,22,2987,563,1420,540,37.96,P
240200,5.7512,26,1977,264,817,273,37.97,P
231100,5.9617,26,2714,390,1232,409,37.97,P
213200,5.2442,26,2738,428,1316,430,37.97,P
207200,5.1333,22,2823,509,1271,474,37.97,P
184100,4.6071,30,3320,589,1470,543,37.97,P
179000,3.7,32,3364,666,1980,678,37.96,P
190700,4.5833,28,4071,713,2033,647,37.96,P
167800,3.0859,13,3216,765,1627,715,37.95,P
246700,5.431,8,4253,709,1883,662,37.95,P
126700,3.1573,12,5048,1122,2209,1014,37.96,P
260400,7.6166,16,3324,479,1470,461,37.96,P
200600,5.5872,17,2756,423,1228,426,37.96,P
267400,6.7371,14,6290,854,2724,820,37.95,P
265900,6.7821,16,2984,406,1317,397,37.95,P
206200,5.3794,34,3259,498,1250,478,37.97,P
171000,4,36,2342,436,1191,416,37.97,P
151100,3.25,45,1613,338,865,336,37.97,P
160900,2.9861,26,2470,626,1174,573,37.97,P
166700,2.9915,20,3968,931,2629,903,37.97,P
106300,2.9097,16,2913,723,1705,693,37.96,P
112500,2.5841,21,6445,1839,3621,1735,37.97,P
151000,3.1968,39,1323,245,705,261,37.97,P
151800,2.2411,20,1143,346,578,298,37.96,P
159800,3.8456,35,2190,384,1154,401,37.96,P
165700,3.6964,28,1207,252,724,252,37.96,P
175000,1.837,27,2587,729,1500,623,37.96,P
182000,3.1838,27,3513,791,1875,694,37.95,P
190800,5.4482,20,563,107,246,123,37.95,P
298200,6.0901,8,3866,539,1555,513,37.95,P
305100,6.6727,25,2615,368,935,366,37.96,P
162500,2.1083,20,2636,691,1142,627,37.96,P
220500,3.1719,14,3287,793,1601,716,37.95,P
208300,2.4519,25,1205,260,608,272,37.95,P
202300,4.9485,32,1955,313,804,317,37.95,P
237000,5.6642,22,3526,510,1660,508,37.95,P
213100,4.2569,23,3516,661,1465,623,37.94,P
322300,6.7061,23,3741,501,1339,499,37.94,P
267100,4.125,19,3192,612,1317,594,37.94,P
268000,6.0704,26,1619,224,706,220,37.94,P
273600,6.3809,18,2077,298,937,292,37.94,P
339200,6.8145,9,2214,256,848,239,37.95,P
330200,7.5898,25,2652,335,1062,334,37.93,P
163100,3.1406,33,1653,334,814,328,37.95,P
231400,5.6292,24,5732,873,2444,888,37.94,P
227800,4.6602,22,2105,354,993,365,37.94,P
197100,4.7188,29,866,138,341,133,37.95,P
144600,2.85,22,5175,1213,2804,1091,37.95,P
279300,5.5777,21,5541,776,2214,737,37.94,P
344800,6.0918,21,4712,624,1773,615,37.93,P
266500,4.0473,5,4274,1153,1503,881,37.93,P
184900,4.45,15,7803,1603,2957,1546,37.93,P
234700,4.7094,14,12713,2558,4741,2412,37.92,P
351200,7.4713,26,5077,640,1872,636,37.92,P
358800,6.5847,23,3318,408,1124,393,37.92,P
367700,7.6877,21,10093,1269,3645,1219,37.91,P
275300,5.0362,29,5438,871,2310,890,37.91,P
232800,4.1612,15,5393,1422,2133,1288,37.91,P
216100,2.6998,25,5869,1685,2669,1554,37.9,P
114300,3.1002,21,4985,1590,2575,1458,37.89,P
226000,5.0255,45,1544,244,614,238,37.93,P
252100,3.7433,25,7201,1521,3264,1433,37.93,P
225000,4.4312,26,3872,739,1629,684,37.92,P
250000,4.4561,28,2377,469,1068,435,37.92,P
264900,6.195,26,1733,265,796,274,37.92,P
259800,5.0391,28,1731,295,810,295,37.91,P
292500,3.6833,33,1550,277,638,254,37.91,P
306800,5.0499,32,1075,170,486,173,37.9,P
306900,7.0895,18,9576,1455,3486,1380,37.91,P
266800,4.3864,28,3410,746,1428,670,37.89,P
283900,6.2924,39,3018,501,1223,489,37.89,P
288000,5.1097,29,4133,770,1691,744,37.9,P
268800,5.5636,38,2139,343,809,340,37.89,P
263300,5.6558,38,757,124,319,123,37.89,P
340900,6.5378,34,4781,703,1879,714,37.88,P
397500,6.7192,30,2296,329,847,322,37.87,P
271000,2.9526,24,4125,1020,1699,873,37.9,P
335700,4.6528,32,2676,484,986,473,37.9,P
310600,4.2625,37,1677,269,689,283,37.89,P
349100,7.5349,33,2423,322,998,346,37.89,P
321200,4.8088,32,4498,862,1818,851,37.9,P
275800,5.6986,20,5467,1044,2310,963,37.9,P
356200,7.5,29,6349,858,2450,778,37.89,P
312700,4.6424,32,3250,550,1230,557,37.88,P
390600,6.112,29,3025,477,1035,452,37.86,P
469400,9.5862,27,6039,780,2181,761,37.85,P
258200,6.2726,22,1980,291,861,290,37.73,P
260300,6.1265,22,6719,1068,2843,994,37.73,P
275000,6.2048,23,2564,347,1043,351,37.73,P
350000,3.375,8,831,231,404,224,37.73,P
250000,6.3325,19,1127,170,518,167,37.74,P
266000,6.2631,19,5721,837,2653,813,37.74,P
269800,6.2781,17,2559,370,1238,377,37.75,P
157200,2.4821,24,1407,327,501,295,37.73,P
343500,6.8806,16,3326,419,1272,402,37.74,P
296100,6.6204,16,5121,735,2464,761,37.75,P
312500,6.6131,17,5688,824,2111,773,37.79,P
345800,7.6473,17,3354,422,1457,425,37.8,P
343700,8.155,16,2498,330,1027,343,37.8,P
359100,5.5921,18,2903,387,1127,372,37.81,P
403400,8.3188,12,6488,778,2404,765,37.81,P
356000,7.9168,17,3279,418,1222,381,37.8,P
369200,7.8287,8,11336,1657,4089,1555,37.8,P
341300,6.7857,16,3873,484,1451,501,37.79,P
356700,6.3942,4,14652,2826,5613,2579,37.78,P
425100,9.7037,8,3865,463,1548,432,37.76,P
356100,4.6932,4,6875,1439,2889,1307,37.76,P
461400,10.3345,5,2255,269,876,258,37.76,P
432400,12.5915,8,452,51,140,43,37.74,P
434700,3.1591,2,227,35,114,49,37.78,P
350000,15.0001,2,200,20,25,9,37.74,P
381900,6.7027,8,3743,581,1633,567,37.76,P
324600,7.2216,13,7241,1007,3221,947,37.77,P
399300,7.9393,8,2865,389,1376,417,37.74,P
443800,7.7072,34,1879,265,729,263,37.84,P
386600,6.5617,30,3917,549,1330,544,37.83,P
256400,4.6042,20,2206,458,926,432,37.82,P
200000,3.375,22,1248,271,579,269,37.82,P
500001,9.8708,24,5948,738,1997,710,37.83,P
294800,5.1755,14,8213,1364,3283,1286,37.77,P
188500,4.9018,17,465,83,146,75,37.81,P
359300,7.6518,11,6200,907,2286,896,37.8,P
358700,8.2673,21,3521,447,1396,467,37.87,P
287300,7.3732,16,3031,438,1087,421,37.88,P
441400,8.4352,14,3056,369,1209,377,37.87,P
494000,7.2655,25,3004,393,1145,376,37.86,P
500001,10.7372,18,8953,1074,3011,993,37.86,P
500001,13.4883,4,1029,126,416,122,37.87,P
398200,7.5139,29,7479,977,2744,943,37.84,P
500001,9.5271,16,7681,946,2777,908,37.84,P
500001,12.2478,10,3209,379,1199,392,37.85,P
372000,8.0839,16,2939,380,1177,396,37.83,P
351300,8.003,18,9117,1248,3280,1167,37.82,P
450400,9.0776,5,7178,898,2823,907,37.81,P
382200,8.039,20,10212,1424,4083,1374,37.93,P
500001,10.4549,22,4949,626,1850,590,37.94,P
294400,6.5095,38,827,144,368,136,37.9,P
500001,10.3224,32,5738,746,2099,732,37.9,P
455300,8.3678,34,5683,755,1962,723,37.91,P
406500,6.8686,35,880,139,352,132,37.89,P
310300,5.2079,21,3282,653,1398,601,37.89,P
279500,4.3235,32,2372,516,1067,492,37.89,P
348200,6.4666,37,4005,614,1602,606,37.88,P
433300,8.0448,35,2785,362,1001,363,37.88,P
257100,4.125,30,3227,733,1260,684,37.89,P
350000,2.7411,27,744,214,295,169,37.89,P
426100,10.3713,18,1820,220,728,229,37.87,P
394400,6.2275,34,6986,1096,2865,1124,37.88,P
387200,3.5536,11,1077,318,590,264,37.88,P
99400,2.3971,24,2059,462,410,294,37.88,P
85000,2.933,26,2947,647,825,626,37.88,P
102700,2.9167,24,6130,1359,1750,1286,37.87,P
186500,3.6437,17,7475,1556,2092,1449,37.85,P
155000,3.12,23,1025,205,263,191,37.86,P
252400,4.4551,16,5187,1014,1512,986,37.86,P
206300,3.5893,17,1102,224,317,208,37.86,P
73400,2.4896,26,2405,564,680,531,37.87,P
367100,7.2315,35,3701,528,1511,517,37.88,P
402600,7.6202,27,5484,760,2212,770,37.86,P
314200,6.5814,33,3398,500,1351,457,37.87,P
454100,8.0074,18,5252,686,1870,657,37.85,P
500001,11.7064,17,1320,159,1722,141,37.84,P
416500,7.6717,26,4048,513,1486,498,37.81,P
364500,6.6657,26,2269,317,918,313,37.82,P
369900,7.203,19,5130,741,1887,712,37.83,P
500001,11.3421,4,2045,237,830,252,37.82,P
314000,4.5744,20,6201,1182,2415,1141,37.86,P
389900,7.3267,27,9147,1276,3371,1269,37.85,P
355600,5.6349,24,2131,343,874,373,37.84,P
370200,7.52,16,4596,705,1480,650,37.83,P
404300,8.1586,36,3359,493,1298,483,37.86,P
354200,4.9,36,542,119,231,121,37.88,P
399700,8.9571,33,4449,636,1684,617,37.86,P
434500,8.7589,32,1779,241,721,258,37.89,P
401800,7.6917,32,3633,508,1393,506,37.88,P
423200,7.6107,33,3626,502,1348,480,37.88,P
438000,6.917,38,1261,177,472,183,37.87,P
475000,2.4444,20,95,13,31,15,37.88,P
367500,7.3195,37,3881,560,1315,517,37.89,P
378100,7.7736,36,1065,160,398,155,37.88,P
500001,10.9405,31,7200,876,2428,843,37.91,P
500001,10.3416,36,2107,287,740,280,37.9,P
500001,9.0064,36,4760,610,1511,572,37.9,P
499000,8.1489,18,4845,735,1634,734,37.89,P
204200,5.2699,8,7505,1089,3325,1016,37.98,P
166800,6.4753,8,1584,236,615,202,37.97,P
213700,5.5601,4,17032,2546,7653,2359,37.97,P
162500,2.875,17,1133,244,716,235,37.95,P
500001,10.5815,11,2836,373,959,335,37.83,P
500001,13.2949,4,11444,1355,3898,1257,37.82,P
500001,13.1499,7,3477,416,1216,395,37.81,P
485400,8.3209,12,4711,659,2089,621,37.81,P
210100,2.9591,2,3129,707,1606,698,37.99,P
194700,5.1582,26,3084,505,1557,501,37.94,P
181200,4.1483,25,4026,791,1850,709,37.95,P
285400,6.8642,21,3153,411,1318,431,37.94,P
307000,6.6134,4,3241,464,1552,494,37.93,P
353600,8.3956,18,2808,337,1038,337,37.92,P
365800,8.1163,16,2638,345,1055,334,37.92,P
427700,9.0243,14,1780,224,764,226,37.92,P
366700,7.3445,13,2085,292,852,264,37.89,P
237400,5.2798,14,5332,884,2093,839,37.96,P
288000,7.1978,18,2541,355,986,346,37.95,P
329400,8.7059,13,1610,198,703,217,37.93,P
291700,6.2296,26,1299,174,533,180,37.94,P
320400,7.5695,16,3421,427,1341,428,37.93,P
286900,6.299,16,2876,391,1089,377,37.93,P
312600,6.6049,16,2169,262,877,245,37.93,P
253600,5.9346,27,1469,216,578,219,37.94,P
205100,5.7001,16,1803,267,946,266,38.02,P
197600,5.6293,15,3338,532,1834,520,38.03,P
198500,6.0224,15,2150,327,1094,324,38.02,P
310700,6.7741,9,6306,962,2581,911,37.96,P
171100,3.125,52,1350,266,490,257,38.06,P
147100,2.5517,52,1736,358,638,297,38.05,P
155700,3.6154,52,2735,559,1076,487,38.06,P
197000,5.6022,31,3029,500,1236,487,38.04,P
203700,4.4474,25,2239,361,928,353,38.03,P
134500,2.3103,47,1685,405,835,372,38.04,P
150200,3.9345,41,1631,282,752,288,38.03,P
123000,2.694,41,2512,539,1179,480,38.04,P
147700,1.6767,30,1255,297,779,307,38.05,P
174200,5.0969,4,7999,1611,3596,1396,38.06,P
178900,3.4471,26,2335,413,980,417,38,P
173200,4.025,16,4986,1081,2805,1016,38,P
175400,4.3173,32,2159,393,981,369,38.03,P
162000,4.4394,34,1712,317,956,341,38,P
191100,4.621,26,3735,641,1708,633,38,P
195000,3.2759,18,4123,874,1895,772,38.01,P
193300,4.375,28,3801,622,1654,571,37.99,P
198000,5.1178,28,2038,329,947,349,37.98,P
243200,5.8899,16,4921,737,2312,725,37.99,P
218600,6.0289,23,3455,479,1375,474,37.98,P
184800,5.0473,5,3846,786,2053,716,38.02,P
269400,5.7862,11,3751,565,1949,555,38.01,P
235600,6.0102,16,2084,315,1154,307,38.01,P
237700,6.5006,16,2978,411,1531,400,38,P
170500,4.2269,14,2338,391,1003,398,38,P
246400,5.2375,6,678,104,318,91,38,P
240300,5.8418,15,1216,166,572,178,38,P
248700,6.1576,12,1592,242,969,233,38,P
272900,6.2073,5,6265,908,3326,872,38,P
209800,5.1046,27,2133,347,850,350,37.98,P
201000,5.5,35,1579,243,734,264,37.96,P
272400,6.0666,10,15259,2275,7266,2338,37.97,P
184000,3.6393,30,4030,772,1777,718,37.97,P
164700,3.5353,34,2854,528,1211,452,37.97,P
227400,4.4911,20,3426,632,1512,580,37.97,P
149700,3.375,35,1811,377,911,340,37.97,P
190000,4.4387,20,7578,1426,3637,1362,37.94,P
196600,4.45,37,1887,353,895,359,37.95,P
191400,3.8343,38,1794,349,810,335,37.94,P
194200,4.3958,38,2172,403,945,384,37.94,P
185000,4.35,36,1425,245,573,239,37.95,P
157800,4.2348,25,6508,1137,3259,1081,37.99,P
164300,3.6518,25,3807,806,1821,792,37.98,P
161000,3.9722,29,2347,464,1135,490,37.97,P
171100,4.6944,26,3054,492,1495,496,38.01,P
109000,2.9781,35,3779,711,2493,679,38,P
170800,4.3333,29,3108,534,1687,516,38,P
173500,4.2852,24,4865,968,2315,893,37.99,P
162800,4.0437,32,2275,397,1233,418,38,P
85100,2.6167,42,1531,326,1271,377,37.99,P
175000,6.0115,3,2850,544,1024,515,37.98,P
112500,3.911,4,3999,1079,1591,887,37.99,P
212500,4.125,33,44,6,23,11,38,P
104200,0.716,39,246,57,316,52,37.96,P
80400,1.5347,31,1157,276,956,232,37.96,P
69800,1.8333,40,408,102,302,81,37.95,P
81300,1.6023,35,215,45,100,34,37.95,P
76400,0.9797,32,1298,363,716,268,37.95,P
68600,0.7403,37,1572,402,1046,350,37.96,P
67500,1.4583,36,60,15,42,25,37.98,P
131300,3.9773,33,2014,410,1354,427,37.98,P
132900,3.7562,34,3756,726,2237,686,37.98,P
110000,6.0426,19,392,109,287,81,37.97,P
113600,2.0353,32,1991,504,1139,423,37.96,P
112200,2.5863,43,2178,482,1545,471,37.97,P
113800,3.2188,31,2892,685,2104,641,37.97,P
134100,4.6937,33,1595,292,991,300,37.97,P
156600,4.5,33,1156,190,643,209,37.97,P
158800,3.3125,19,5151,1335,2548,1165,37.97,P
150100,4.4135,32,1967,348,1144,364,37.98,P
130800,3.5463,45,1982,376,1179,398,37.97,P
120700,2.3382,19,2237,580,1438,551,37.97,P
129400,3.9118,46,1222,236,819,251,37.96,P
114200,2.5164,36,2191,531,1563,524,37.96,P
97200,1.875,29,1899,524,1357,443,37.96,P
97700,2.0724,35,1326,346,1023,295,37.96,P
110300,2.6328,31,2449,595,1801,548,37.95,P
93900,2.5461,34,1428,335,1272,319,37.96,P
107800,1.8664,30,950,317,1073,280,37.96,P
133700,3.375,25,1728,403,934,412,37.96,P
182800,4.0417,34,2070,357,784,294,37.96,P
146100,2.5769,35,1612,354,887,331,37.95,P
120800,2.1915,22,2099,569,1135,509,37.95,P
133300,2.1991,15,6487,1717,3408,1560,37.96,P
103600,2.5382,33,1817,441,1220,389,37.96,P
165100,3.7277,38,2751,522,1390,489,37.94,P
210800,5.5196,46,1901,295,833,352,37.94,P
186900,3.9464,40,1141,213,434,196,37.93,P
144600,3.7708,42,1627,336,848,316,37.95,P
140400,2.8833,45,1226,279,590,260,37.94,P
140800,3.5848,47,1882,361,797,342,37.94,P
141600,3.1571,43,1876,389,807,377,37.94,P
139100,3.9417,42,1695,345,719,334,37.94,P
150800,4.0526,44,1769,332,828,309,37.94,P
134100,3.6719,45,1128,240,702,270,37.95,P
135800,3.0313,45,1585,329,981,373,37.95,P
142600,4.0927,46,1543,339,777,322,37.95,P
135300,3.0694,44,1675,317,806,311,37.95,P
133400,2.875,44,1788,368,933,329,37.95,P
135100,3.2333,39,1986,427,1041,385,37.95,P
111700,3.2833,38,1340,298,766,241,37.95,P
111600,3.0737,45,2142,431,1318,431,37.95,P
114600,3.6094,42,1485,290,971,303,37.95,P
104700,2.7714,38,1042,289,773,248,37.95,P
143300,3.942,47,2313,433,947,430,37.94,P
140300,2.7391,44,1917,444,936,435,37.94,P
145500,1.681,31,1611,455,786,411,37.94,P
143900,3.125,42,2206,451,989,444,37.94,P
105200,2.3456,45,2112,493,1406,452,37.94,P
105200,1.6571,34,1880,459,1358,422,37.94,P
95600,2.8967,47,1275,275,844,273,37.94,P
81700,1.5139,38,1066,248,729,286,37.95,P
79000,3.0862,45,907,188,479,161,37.94,P
105800,0.9687,27,844,249,583,265,37.94,P
72900,1.3365,26,1540,343,1007,338,37.94,P
79700,1.822,41,2591,585,1638,462,37.94,P
71600,1.3167,49,969,229,599,195,37.94,P
88000,1.7865,19,1334,366,1048,316,37.93,P
84300,2.3352,28,1995,488,1182,439,37.93,P
79400,1.6,43,369,107,371,111,37.94,P
121600,3.05,17,1258,254,885,229,37.93,P
69100,1.0521,40,1064,266,912,239,37.94,P
37900,1.75,45,3150,756,1798,749,37.93,P
269800,5.0524,18,3507,711,1224,676,37.91,P
274500,4.016,47,3453,779,1353,728,37.93,P
275000,3.2875,52,154,33,89,38,37.94,P
95000,2.1287,30,2515,481,1327,428,37.93,P
91500,1.7257,39,2002,416,1166,395,37.93,P
86100,1.7727,44,1891,449,1047,432,37.93,P
87000,1.9375,42,1796,389,1107,372,37.93,P
84200,0.8641,37,709,190,644,174,37.93,P
93800,1.125,36,1954,513,1437,440,37.91,P
94000,1.9224,36,921,200,585,236,37.92,P
104200,1.3929,52,215,41,126,43,37.92,P
186800,4.2895,4,2851,798,1285,712,37.91,P
90300,2.3475,34,2326,471,1356,441,37.93,P
111500,3.0156,27,2158,424,1220,442,37.93,P
88300,1.4423,32,2389,652,1672,584,37.93,P
112100,2.64,45,2225,486,1304,459,37.93,P
156300,3.2222,41,268,75,198,82,37.93,P
140600,5.0187,29,2304,399,1377,454,37.92,P
122400,2.2301,26,3887,779,2512,740,37.92,P
129100,3.2674,28,4649,977,2606,953,37.92,P
119600,2.6399,34,2669,647,1341,555,37.91,P
167800,2.7628,39,2955,696,1417,682,37.91,P
178400,3.6417,43,2549,511,1060,528,37.91,P
177800,4.1146,45,3924,834,1992,773,37.91,P
286500,5.3433,39,2505,371,872,345,37.93,P
253400,5.0399,36,2403,408,917,404,37.93,P
247300,5.1067,40,3056,489,1103,481,37.93,P
267700,6.2712,47,1911,283,697,275,37.94,P
321600,6.0677,32,3943,605,1524,614,37.92,P
288200,5.943,35,583,88,235,84,37.92,P
401000,6.516,32,1736,234,602,231,37.92,P
304000,4.5,34,2254,357,715,306,37.93,P
261900,3.5089,36,1526,256,696,263,37.93,P
22500,2.675,33,296,73,216,63,37.93,P
183300,2.8456,30,1014,236,537,204,37.92,P
220100,3.724,38,1250,236,631,279,37.92,P
195800,2.5,12,1895,600,983,519,37.92,P
186900,3.3594,22,1119,220,565,199,37.92,P
212200,4.1587,43,2116,407,900,361,37.92,P
239000,4.0804,33,1615,271,710,285,37.92,P
218100,2.7243,31,1432,348,681,348,37.91,P
200400,2.9441,39,2686,569,1159,559,37.91,P
209100,3.6321,40,2866,617,1305,589,37.91,P
217200,2.9219,37,2125,489,912,462,37.9,P
223000,3.4091,41,2053,435,873,415,37.9,P
141700,2.3946,35,1102,308,688,303,37.9,P
162500,2.2672,30,1772,471,880,437,37.9,P
311400,6,36,1450,235,568,234,37.92,P
263200,5.1691,38,2591,424,905,378,37.91,P
262000,4.0536,46,2085,346,748,354,37.91,P
273700,5.5357,40,2085,329,796,339,37.91,P
234900,4.4286,52,2657,500,1131,489,37.9,P
358500,6.5576,38,2501,348,805,329,37.91,P
333700,6.3538,49,3191,516,1148,507,37.9,P
287500,4.1212,52,1369,249,490,248,37.9,P
324400,5.828,41,3009,482,1053,490,37.91,P
315500,6.3669,47,1930,315,692,296,37.91,P
331200,7.3089,48,2083,298,685,286,37.91,P
109400,3.7557,16,2739,480,1259,436,41.8,P
85800,1.9797,19,2672,552,1298,478,41.8,P
73200,2.4805,11,3159,616,1343,479,41.75,P
68400,2.5795,17,3461,722,1947,647,41.77,P
74600,1.6654,15,3140,714,1645,640,41.78,P
78300,1.7038,28,3003,699,1530,653,41.73,P
66900,2.0074,20,3810,787,1993,721,41.75,P
105900,2.4605,20,2673,538,1282,514,41.76,P
69500,2.1829,15,2715,569,1532,530,41.74,P
122400,2.275,21,2696,578,1208,494,41.95,P
75000,2.1336,19,1668,324,841,283,41.92,P
103600,3.0313,17,2677,531,1244,456,41.84,P
103100,2.2868,17,3276,628,3546,585,41.81,P
152700,2.9688,22,1880,360,743,314,41.68,P
116700,3.13,18,1504,357,660,258,41.88,P
71100,2.0202,22,2920,636,1382,499,41.54,P
212500,1.5536,20,1451,386,467,255,38.96,P
187500,2.625,8,430,107,36,18,38.95,P
87500,2.02,22,1058,352,851,269,38.95,P
92200,1.7245,21,2046,580,952,353,38.95,P
91300,2.32,25,1789,536,1134,396,38.95,P
173400,2.5875,24,2180,517,755,223,38.94,P
