@relation house_8L.arff

@attribute P3 numeric
@attribute P6p4 numeric
@attribute P11p3 numeric
@attribute P16p2 numeric
@attribute P19p2 numeric
@attribute H5p2 numeric
@attribute H15p1 numeric
@attribute H40p4 numeric
@attribute binaryClass {P,N}

@data
317,0,0.493011,0.706625,0,0.074074,5.854251,0,P
157,0.004938,0.496296,0.713376,0,0,5.209091,0,P
1387,0.003665,0.438913,0.655371,0,0.45098,5.059067,0.130435,P
1909,0.001613,0.537634,0.856469,0.000524,0.247191,6.28236,0.454546,P
36,0,0.586539,0.888889,0,0.5,8.371429,1,N
1388,0.003189,0.545955,0.70317,0.013689,0.368932,5.727459,0.578947,P
799,0.003214,0.628816,0.67209,0.003755,0.246809,5.460967,0.87931,N
1583,0.004588,0.539937,0.842072,0.004422,0.2,5.969673,0.428571,P
311,0,0.499414,0.77492,0.051447,0.038462,5.446565,1,P
34,0,0.488372,0.735294,0,0.076923,5.666667,1,P
295,0.005766,0.385503,0.820339,0.4,0,5.230216,0,P
3256,0.028581,0.567852,0.794533,0.015663,0.216981,6.537805,0.217391,N
3893,0.007439,0.563227,0.764192,0.030568,0.323341,6.752725,0.516556,N
4945,0.003176,0.584598,0.660061,0.016785,0.070593,4.617687,0.347594,N
2846,0.009745,0.546927,0.742094,0.006676,0.220548,6.171303,0.645963,N
2243,0.00184,0.51464,0.781097,0.257245,0.162437,5.613908,0.78125,P
356,0.002342,0.440281,0.668539,0,0.166667,6.189831,0,P
221,0.008475,0.418644,0.733032,0,0.2,6.295181,0.333333,P
1094,0.004441,0.46267,0.849177,0.002742,0.326923,7.324103,0.352941,N
165,0,0.451613,0.678788,0,0.114286,6.013514,0.75,P
605,0.003827,0.52551,0.771901,0,0.177778,6.25122,0.5,P
1924,0.00292,0.480197,0.724013,0.00104,0.145299,5.531605,0.764706,P
25933,0.03962,0.451745,0.812748,0.009525,0.311716,6.480179,0.463087,P
6200,0.017115,0.274003,0.609516,0.003871,0.073551,4.481052,0.606061,N
56,0,0.375,0.571429,0,0.111111,6.4375,1,P
52,0,0.46875,0.673077,0,0,6.340909,0,P
568,0.005528,0.4957,0.771127,0.008803,0.655914,5.693396,0.081967,N
19703,0.038791,0.483553,0.664569,0.001167,0.135593,6.134739,0.408333,P
66,0,0.453488,0.621212,0,0.090909,6.222222,1,P
319,0.001337,0.475936,0.655172,0.003135,0.133333,5.70283,1,P
209,0,0.474606,0.755981,0.004785,0.363636,5.680233,1,P
4408,0.005027,0.468147,0.685799,0.080989,0.162362,5.722304,0.613636,P
2016,0.142193,0.505204,0.71131,0.012897,0.146342,6.864167,0.5,N
9689,0.006927,0.512588,0.638559,0.00805,0.068301,6.369912,0.564103,P
38,0,0.476191,0.684211,0,0.117647,4.875,0,P
484,0,0.521193,0.754132,0,0.133333,6.708333,0.333333,P
2606,0.154778,0.590631,0.866846,0.006523,0.513158,8.30835,0.282051,N
853,0.000783,0.508415,0.818288,0.075029,0.297297,5.442811,0.545455,P
52,0.007407,0.481482,0.730769,0,0,5.205882,0,P
1829,0.004018,0.437013,0.636413,0,0.282051,6.154723,0.515152,P
278,0,0.386059,0.661871,0.010791,0.060606,5.351955,1,P
714,0.001207,0.375981,0.62465,0.001401,0.3,5.785425,0.666667,P
18074,0.010602,0.513733,0.622607,0.020361,0.118144,6.1026,0.414286,P
1086,0.002802,0.440847,0.757827,0.348987,0.136842,5.573454,0.846154,P
6133,0.004434,0.492632,0.664601,0.018099,0.18894,5.818624,0.609756,P
1921,0.025867,0.567159,0.767829,0.015617,0.340909,7.322242,0.533333,N
207,0,0.521154,0.748792,0,0.375,5.619883,0.5,P
4265,0.02327,0.569978,0.779836,0.003986,0.21831,7.650768,0.258064,N
1846,0.003759,0.535545,0.9052,0.004334,0.365854,5.949564,0.333333,P
243,0,0.39356,0.625514,0,0.263158,6.051429,0.8,P
1329,0.003322,0.4701,0.747931,0.000752,0.164319,5.566988,0.628571,P
49,0.008547,0.512821,0.693878,0,0.166667,5.642857,1,P
190,0,0.451613,0.721053,0,0.134615,5.453416,1,P
145,0.003021,0.549849,0.613793,0,0.08046,5.261905,0.857143,P
1641,0.004586,0.493503,0.685558,0.096892,0.191781,6.279371,0.607143,P
486,0.001781,0.466607,0.572017,0,0.032573,6.5,0.6,N
2301,0.001815,0.459808,0.646241,0,0.148148,6.630749,0.5,P
75,0,0.502203,0.853333,0.013333,0,6.1,0,P
43674,0.009811,0.513531,0.653661,0.022325,0.225681,6.365331,0.302956,P
172,0.004525,0.427602,0.651163,0,0.192308,5.085938,0.8,P
2487,0.597711,0.544295,0.855649,0.016486,0.28,5.69087,0.071429,N
319,0.005256,0.387648,0.636364,0.003135,0.297297,6.080169,0.727273,P
85,0,0.403434,0.694118,0,0.222222,6.107692,0.75,P
1617,0.003759,0.538257,0.802721,0.005566,0.081633,6.707379,0.75,P
493,0,0.53113,0.817444,0,0.151515,5.972665,0.6,P
144,0.002033,0.45122,0.8125,0.006944,0.019608,4.543689,1,P
1232,0.001623,0.509465,0.844156,0.016234,0.361905,5.948928,0.342105,N
1074,0.005259,0.545428,0.869646,0.000931,0.1875,6.730897,0.5,N
4723,0.019169,0.527907,0.613381,0.041499,0.14876,6.202449,0.814815,N
4570,0.003284,0.48087,0.671772,0.368053,0.079254,5.629171,0.323529,P
4836,0.003004,0.521873,0.776468,0.061001,0.111345,6.136986,0.264151,N
154342,0.01107,0.479994,0.535817,0.3487,0.084158,6.477168,0.521354,P
27,0,0.525424,0.592593,0,0.75,4.4375,1,P
856,0.016296,0.553657,0.754673,0.068925,0.21875,6.034483,0.214286,N
95,0,0.458937,0.642105,0,0.151515,5.9625,0.6,P
1251,0.002977,0.44823,0.635492,0.000799,0.090164,5.687231,0,N
19256,0.009614,0.531968,0.839219,0.027836,0.452749,6.245913,0.533207,N
248,0.00813,0.502439,0.705645,0,0.25,5.99495,0.75,P
1216,0.001924,0.62492,0.729441,0.375822,0.214286,5.525384,0.5,N
1298,0.02815,0.413386,0.94376,0.077042,0,0,0,P
6856,0.01138,0.537606,0.904755,0.009481,0.180723,7.141676,0.333333,N
758,0.013309,0.424966,0.711082,0.170185,0.097561,5.687619,0.666667,P
19,0,0.530612,0.684211,0.210526,0,4.833333,0,P
208,0,0.495146,0.721154,0,0,6.471015,0,P
198,0,0.45629,0.636364,0,0.034826,5.608,0.428571,P
1329,0.01816,0.536469,0.732882,0.079007,0.174312,5.906682,0.473684,N
7163,0.026448,0.535319,0.711853,0.003769,0.231834,6.244293,0.634328,N
1675,0.005413,0.483987,0.707463,0.000597,0.163265,6.411172,0.375,P
3777,0.006969,0.526907,0.774424,0.001324,0.218391,6.610476,0.473684,N
29381,0.005116,0.475971,0.657738,0.246588,0.148031,6.180441,0.532039,P
1615,0.003262,0.526794,0.727554,0.001238,0.444444,5.803891,0.375,P
824,0.001536,0.493088,0.713592,0.07767,0.152174,5.853211,0.714286,P
219,0,0.435461,0.803653,0,0.055556,6.822917,0,P
740,0.002047,0.461105,0.721622,0.002703,0.217391,6.325234,0.8,P
361,0,0.483398,0.767313,0,0.083333,6.136519,1,P
4630,0.038701,0.43791,0.668035,0.003456,0.119883,6.295467,0.390244,P
3751,0.008882,0.413867,0.86377,0.001866,0.315217,7.552083,0.413793,N
126,0.009174,0.458716,0.706349,0,0,6.424779,0,P
622,0.001435,0.429699,0.580386,0,0.169492,6.261391,0.7,P
167,0,0.490826,0.766467,0,0.055556,5.173554,0,P
161,0.006231,0.38162,0.782609,0.012422,0,3.824074,0,P
1482,0.001359,0.609783,0.730769,0,0.029096,6.77901,0.652174,N
905,0.002107,0.455542,0.688398,0.282873,0.048193,4.912473,0,P
919,0.001891,0.452482,0.602829,0.002176,0.075758,5.412121,0.2,N
14,0,0.409091,0.928571,0,0,6.583333,0,P
85,0,0.426471,0.635294,0,0,5.616667,0,P
997,0.001069,0.516922,0.801404,0.001003,0.231579,5.758755,0.909091,P
185,0,0.481262,0.778378,0,0.086957,5.153846,0,P
7711,0.016201,0.554291,0.590326,0.054727,0.176353,5.858014,0.357955,N
7844,0.006638,0.514565,0.761219,0.221953,0.158311,5.880609,0.583333,P
1097,0.001914,0.41217,0.60711,0.000912,0.077922,5.8125,0.333333,P
66,0,0.419087,0.833333,0,0,2.963636,0,P
1658,0.003385,0.582822,0.8076,0,0.148148,6.29481,0.75,N
1020,0.020072,0.607094,0.694118,0.031372,0.102041,6.844021,0,N
203,0,0.463602,0.70936,0.093596,0.115385,5.729167,1,P
54,0.014599,0.445256,0.814815,0,0,6.431818,0,P
500,0.021725,0.563529,0.9,0.008,0,8.033058,0,N
1420,0.042564,0.488451,0.708451,0.002817,0.09322,5.210526,0.227273,N
502,0,0.406322,0.635458,0.001992,0.043478,5.236593,0.75,P
20,0,0.595745,0.75,0.15,0,6.153846,0,P
97,0,0.570896,0.876289,0.030928,0.2,5.735632,0,N
191,0,0.417874,0.638744,0,0.304348,6.046512,1,P
429,0.013078,0.471665,0.727273,0,0.035714,6.372624,0,P
352,0.009083,0.45417,0.855114,0,0.136364,7.57193,1,N
590,0,0.476329,0.627119,0.283051,0.153846,6.127072,0.8,P
1289,0.0031,0.49287,0.686579,0,0.22,6.157722,0.5,P
307,0.0556,0.437681,0.957655,0.117264,0,5.6,0,N
1858,0.015512,0.234747,0.470937,0.013994,0.05814,6.703597,0.3,N
139,0,0.502703,0.791367,0.007194,0.111111,6.313559,0,P
477,0.005085,0.471186,0.679245,0.125786,0.325,5.700297,0.769231,P
344,0.001031,0.495876,0.80814,0.011628,0.1875,5.339041,0.5,P
72,0,0.5375,0.680556,0,0.25,5.983051,0.333333,P
129,0,0.545113,0.767442,0.007752,0.156863,5.981982,1,N
1980,0.005506,0.54778,0.826768,0.069697,0.255102,6.64,0.24,P
6864,0.005236,0.512109,0.729312,0.012238,0.199501,6.371839,0.4875,N
230,0.003333,0.421667,0.721739,0.604348,0.157895,5.971631,1,P
209,0,0.51341,0.684211,0,0.666667,5.927273,0.9,P
527,0.006234,0.497506,0.833017,0.001898,0.1,5.827869,0.333333,N
155,0,0.412987,0.703226,0.322581,0.285714,5.434109,0.75,P
205,0.001887,0.424528,0.712195,0,0.181818,5.892216,0.75,P
164,0,0.470464,0.780488,0,0.1,5.390625,0.5,P
126,0.002882,0.576369,0.714286,0.007937,0.118644,5.873563,0.857143,P
756,0.003775,0.554111,0.874339,0.005291,0.25,7.268608,0.666667,N
149,0,0.471098,0.691275,0,0.282609,6.692983,0.846154,P
1044,0.008919,0.549238,0.732759,0.097701,0.148148,6.158667,0.25,P
5130,0.02691,0.616367,0.595712,0.007018,0.245,6.15547,0.265306,N
116,0,0.440141,0.689655,0,0.125,6.336634,0,P
525,0,0.490869,0.714286,0.011429,0.189655,6.307042,0.727273,N
1111,0.000314,0.490726,0.765077,0.016202,0.100877,5.384154,0.73913,P
670,0.012156,0.454619,0.501493,0.004478,0.031467,6.67382,0.38961,N
15588,0.024697,0.496625,0.805235,0.035669,0.24262,6.191861,0.21673,N
24,0,0.484375,0.708333,0,0,5.73913,0,P
1275,0.029328,0.421253,0.975686,0.122353,0.014286,5,0.5,P
199,0.002041,0.512245,0.718593,0.030151,0.166667,5.903846,0.666667,P
56,0,0.431953,0.75,0.535714,0.034483,5.66,0,P
1417,0.002433,0.412795,0.715596,0.65067,0.177665,5.597576,0.8,P
69,0,0.554404,0.782609,0,0,6.571429,0,P
340,0,0.4222,0.7,0.102941,0.130435,5.715,0.5,P
3781,0.000933,0.460781,0.703518,0.336419,0.118722,5.912132,0.461539,P
1513,0.007366,0.398671,0.865169,0,0.3125,7.350794,0.5,N
289,0,0.5625,0.823529,0.00346,0.111111,7.258964,0,N
385,0,0.520146,0.81039,0.075325,0.363636,5.786624,0.375,N
8622,0.0038,0.437336,0.692183,0.379726,0.146089,5.860209,0.677419,P
779,0.006014,0.592354,0.912709,0.007702,0.571429,6.517906,0.3125,N
9,0,0.636364,0.888889,0.111111,0.2,7.285714,0,P
55,0,0.567568,0.890909,0,0,5.744681,0,P
825,0.002438,0.444661,0.675152,0.004849,0.206349,6.132463,0.461539,P
93,0,0.494737,0.677419,0,0,6.205128,0,P
7870,0.044631,0.583298,0.790851,0.013596,0.152174,6.826806,0.464286,N
856,0.008511,0.51617,0.703271,0.016355,0.086957,6.905286,0.25,N
1414,0.002885,0.444097,0.589816,0.773692,0.044555,5.419397,0.444444,P
19,0,0.27957,0.736842,0,0.111111,7.944444,1,P
349,0.001181,0.523022,0.724928,0,0,6.70412,0,P
1289,0.010404,0.571344,0.782002,0.004655,0.097222,6.679181,0.142857,N
1904,0.008186,0.47628,0.685924,0.000525,0.169811,5.73694,0.333333,P
526,0.003534,0.487633,0.787072,0.163498,0.195122,6.068452,0.75,P
87,0,0.515625,0.655172,0.034483,0.090909,7.328358,0,N
67,0,0.490909,0.731343,0,0,6.288136,0,P
4875,0.003431,0.488242,0.658462,0.003077,0.229965,6.915141,0.840909,P
304,0.005006,0.543179,0.81579,0,0.333333,9.254902,0.25,N
9208,0.07947,0.575193,0.726977,0.046373,0.23219,6.387426,0.102273,N
4642,0.015549,0.576515,0.711978,0.864929,0.158879,6.939445,0.411765,N
143,0,0.531035,0.881119,0,0.266667,5.382114,0.75,P
201,0,0.461066,0.646766,0,0.051282,5.528571,1,P
93,0.03211,0.56422,0.763441,0,0.047619,5.683544,0,N
311,0,0.422085,0.736334,0.684888,0.025641,5.914163,0,P
5253,0.004043,0.463111,0.649724,0.004188,0.238866,6.05655,0.355932,P
18126,0.332337,0.551187,0.680625,0.21974,0.117453,4.933262,0.140187,N
643,0.00327,0.396338,0.598756,0,0.133333,5.93737,0.333333,P
142,0,0.486076,0.816901,0.049296,0.153846,5.445378,1,P
860,0.00201,0.446231,0.624419,0.040698,0.15493,6.022071,0.454546,P
322,0,0.452808,0.698758,0,0.311111,5.457286,0.714286,P
243,0,0.485876,0.658436,0,0.0625,5.309392,0,P
1250,0.025355,0.410751,0.7368,0.0368,0.079268,5.69514,0.461539,P
320,0.001245,0.481943,0.684375,0.23125,0.055556,5.637168,1,P
1311,0.004561,0.5263,0.729214,0.060259,0.376623,6.450439,0.344828,N
67,0,0.568862,0.746269,0,0.222222,5.105263,1,P
4240,0.014309,0.527328,0.512028,0.163915,0.067164,6.072233,0.388889,N
1633,0.010747,0.454137,0.642376,0,0.17,6.086449,0.588235,P
3098,0.022762,0.398813,0.709813,0.000646,0.111111,6.434922,0.555556,P
430,0,0.42002,0.637209,0,0.355263,6.045455,0.888889,P
189,0.001912,0.43021,0.730159,0,0.12,5.173913,1,P
108,0.003718,0.401487,0.694444,0,0.266667,5.563218,1,P
240,0,0.454839,0.7125,0.104167,0.204546,5.796954,0.555556,P
17,0,0.510204,0.882353,0,0.5,6,1,P
176,0,0.447124,0.755682,0.011364,0.066667,5.276119,1,P
95,0,0.495192,0.610526,0,0.333333,6.356164,1,P
129,0,0.444444,0.767442,0,0,5.688679,0,P
3527,0.00449,0.551684,0.817976,0.001134,0.302158,7.063411,0.452381,N
10470,0.007797,0.517368,0.701146,0.009742,0.3875,6.632901,0.233871,N
16901,0.248919,0.572645,0.831371,0.055559,0.402359,6.478045,0.218241,N
448,0.001962,0.52518,0.897321,0,0.272727,6.867612,1,N
184,0.001976,0.55336,0.798913,0,0.25,6.48503,0.8,P
690,0.002494,0.511222,0.592754,0,0.036199,6.148241,0.375,N
196,0,0.504656,0.683674,0.015306,0.357143,5.710526,0.2,P
5657,0.01806,0.527309,0.75411,0.002475,0.316547,6.969366,0.636364,N
37,0,0.45,0.648649,0,0.041667,4.903226,1,P
835,0.000476,0.476417,0.747305,0.182036,0.255319,5.47745,0.583333,P
726,0,0.422373,0.698347,0.060606,0.094444,5.365169,0.823529,P
2088,0.000728,0.451202,0.705939,0.394636,0.105485,6.325172,0.6,P
116,0.037657,0.472803,0.577586,0.008621,0.304348,5.617978,1,P
84,0,0.511312,0.761905,0,0,5.16129,0,P
451,0.008285,0.479702,0.691796,0.004435,0.088235,5.651852,0.333333,P
3595,0.004964,0.50958,0.834214,0.551043,0.503185,5.610446,0.493671,P
1183,0.003867,0.556811,0.829248,0.084531,0.462963,5.813411,0.2,N
32157,0.005731,0.499068,0.573623,0.173119,0.051316,4.860443,0.398524,N
36,0.010753,0.677419,0.555556,0,0,3.588235,0,P
459,0.000778,0.465785,0.764706,0,0.052632,6.43617,1,P
2601,0.001679,0.445886,0.67897,0.1411,0.148276,5.651964,0.604651,P
402,0.00404,0.487879,0.701493,0,0.217391,6.061093,0.9,P
89,0.004608,0.43318,0.640449,0,0.066667,6.140845,1,P
3488,0.00298,0.396722,0.677179,0.042718,0.127682,5.061615,0.512605,P
20,0,0.413044,0.6,0,0,5,0,P
381,0,0.483333,0.664042,0,0.112676,5.996109,0.375,P
660,0.014644,0.634589,0.616667,0.00303,0.037594,6.234568,0.2,N
654,0.030462,0.563541,0.908257,0.004587,0.4,7.934272,0.5,N
7095,0.020666,0.548364,0.492741,0.026498,0.182561,6.597387,0.38806,N
144521,0.147568,0.524927,0.580006,0.43155,0.094753,5.822636,0.421488,N
841,0.004206,0.491589,0.67063,0.001189,0.03937,6.218814,0.2,P
22906,0.008857,0.38026,0.629529,0.017899,0.158269,5.018747,0.470703,N
664,0.0009,0.348785,0.753012,0.996988,0.098039,5.734908,0.2,P
305,0,0.494572,0.796721,0.003279,0.166667,5.443182,0.222222,P
3974,0.002427,0.534735,0.777051,0,0.066158,6.530542,0.5,P
223,0,0.4522,0.753363,0.004484,0,6.90625,0,P
12515,0.05725,0.594473,0.660008,0.0171,0.206593,6.265238,0.212766,N
358,0.003594,0.52381,0.896648,0,0,5.408228,0,P
105,0,0.531746,0.809524,0,0,5.730337,0,P
59,0,0.547059,0.779661,0.016949,0.5,7.615385,1,N
436,0.000874,0.500874,0.740826,0,0.2,6.134557,0.785714,P
485,0,0.418231,0.63299,0,0.166667,5.914787,0.866667,P
1228,0.006194,0.506882,0.670195,0,0.208955,6.285714,0.5,P
168,0,0.477108,0.660714,0.005952,0.119048,5.56391,0.6,P
34,0,0.47191,0.764706,0,1,5.741936,1,P
92,0,0.434457,0.673913,0.75,0.083333,5.80303,1,P
3257,0.009442,0.217171,0.436598,0.038072,0.041237,6.503135,0.416667,P
474,0.020154,0.591171,0.620253,0.006329,0,7.194611,0,N
25,0,0.433333,0.52,0,0.090909,5.588235,0,P
134,0.009772,0.52443,0.634328,0.044776,0.026316,4.988095,1,P
631,0.003979,0.450265,0.619651,0,0.05814,6.30047,0.4,P
582,0.002274,0.62392,0.754296,0.252577,0.06579,6.034146,0.4,P
155,0.002558,0.44757,0.716129,0.006452,0.538462,6.094017,0.714286,P
1822,0.003383,0.4894,0.639956,0.000549,0.058824,6.454546,0.611111,N
216,0.001949,0.463938,0.680556,0,0.285714,6.060976,0.833333,P
111,0,0.468023,0.846847,0,0.333333,5.54023,1,P
106,0,0.467797,0.754717,0,0,6.145833,0,P
503,0.000646,0.48708,0.785288,0,0.090909,6.586466,0,N
1043,0.002297,0.428025,0.655801,0.099712,0.113475,5.716788,0.5625,P
65,0,0.532967,0.876923,0,0.111111,5.716981,1,P
1988,0.011887,0.562106,0.492958,0.169014,0.138211,5.584148,0.117647,P
48,0,0.4375,0.708333,0,0.5,5.977778,0,P
1497,0.004497,0.51863,0.715431,0.225117,0.124138,6.262295,0.666667,P
1454,0.002076,0.481703,0.70564,0.057084,0.147059,5.631966,0.3,P
18,0,0.628571,0.444444,0,0.25,3.818182,0,P
1331,0.008506,0.49028,0.674681,0.018783,0.0875,5.84251,0.142857,P
13115,0.036403,0.55321,0.794663,0.016012,0.224558,8.160077,0.359606,N
3461,0.000334,0.451308,0.699798,0.416643,0.171674,5.942488,0.4,P
224,0.001758,0.465729,0.705357,0,0.227273,6.758824,0.6,P
49,0,0.426966,0.44898,0,0.111111,5.575758,1,P
15,0,0.4,0.6,0,0,4.928571,0,P
10304,0.059378,0.586029,0.729231,0.198467,0.19434,7.10175,0.213592,N
10,0,0.5,0.6,0,0,6.777778,0,P
1079,0.009479,0.511453,0.678406,0.044486,0.051282,6.207241,0,N
60,0,0.387755,0.9,0,0,3.415094,0,P
969,0.00233,0.534757,0.76677,0.001032,0.106667,5.294852,0.25,P
66,0,0.427711,0.712121,0,0,5.770492,0,P
167,0.004619,0.549654,0.802395,0,0.166667,6.804196,1,N
992,0.029218,0.508035,0.739919,0.035282,0.308642,7.225076,0.04,N
424,0.002586,0.508621,0.733491,0.016509,0.208333,6.408046,0.6,N
84,0,0.485849,0.75,0,0.133333,5.119403,1,P
660,0.00233,0.469423,0.721212,0.007576,0.125,5.865672,0.666667,P
459,0,0.445355,0.625272,0,0.196721,5.507375,0.75,P
2072,0.046,0.495615,0.716216,0.000965,0.388889,6.362101,0.785714,N
868,0.001952,0.465593,0.644009,0.002304,0.222222,5.743169,0.9,P
6993,0.002091,0.497772,0.749893,0.038038,0.178261,5.585132,0.390244,P
869,0.005878,0.538942,0.840046,0.001151,0.307692,6.871099,0.875,N
70,0.00625,0.4875,0.628571,0,0.1,5.666667,1,P
5179,0.01059,0.445696,0.63101,0.038618,0.092229,4.566088,0.477157,N
58,0,0.487395,0.655172,0.051724,0.142857,4.518519,0,P
1777,0.094238,0.581833,0.776027,0.127743,0.125,5.832808,0.166667,N
42,0,0.563107,0.619048,0,0.166667,3.785714,1,P
1645,0.006123,0.534004,0.779939,0.010942,0.085366,6.384456,0.142857,N
2747,0.002816,0.453895,0.792865,0.005825,0.20316,5.617396,0.833333,P
610,0,0.43874,0.683607,0.411475,0.016667,5.364672,0,P
189,0,0.490756,0.851852,0,0.333333,6.509203,0,P
316,0.007117,0.527877,0.724684,0.003165,0.3,7.684211,0.333333,N
61,0,0.455621,0.754098,0,0.166667,4.976191,1,P
769,0.004179,0.477612,0.661899,0.0013,0.382353,5.396092,0,N
5018,0.005621,0.459407,0.700478,0.007174,0.158487,5.463854,0.270968,N
88,0,0.494163,0.829546,0,0,6.373333,0,P
162,0.002364,0.501182,0.697531,0,0,6.116438,0,P
4772,0.00728,0.487742,0.662825,0.003143,0.071749,6.159056,0.46875,P
495,0.028933,0.473779,0.824242,0.042424,0.125,5.526154,0,N
46741,0.060943,0.482017,0.721487,0.072806,0.20467,5.623389,0.261745,N
282,0.001536,0.463902,0.641844,0,0.16,6.196347,0.75,P
7264,0.003513,0.479986,0.632847,0.396613,0.147368,5.92952,0.348214,P
26111,0.064374,0.480988,0.740684,0.012983,0.188878,5.848101,0.253807,N
1934,0.041157,0.564718,0.880558,0.002585,0.709677,8.233387,0.818182,N
623,0.003378,0.438063,0.701445,0.00321,0.087302,5.463134,0.363636,P
81,0.016575,0.441989,0.604938,0.111111,0.1875,5.191177,0.666667,P
168,0,0.449393,0.726191,0.029762,0.208333,5.057377,0.4,P
1147,0.001045,0.451411,0.645161,0.387969,0.144444,6.315049,0.846154,P
302,0,0.41607,0.854305,0.006623,0.014019,3.256098,1,P
165,0.006865,0.434783,0.70303,0.006061,0.4,5.327434,0.4,P
719,0.038479,0.539175,0.789986,0.011127,0.083333,5.666667,0.333333,N
245,0.001558,0.521807,0.742857,0.004082,0.1,6.263415,0,P
651,0.074146,0.477756,0.675883,0.001536,0.12,5.743304,0.777778,P
68,0.011976,0.491018,0.705882,0,0.227273,5.533333,0.8,P
106,0,0.427386,0.603774,0,0.1,5.204819,1,P
5392,0.021721,0.557946,0.707715,0.008902,0.339426,5.973969,0.523077,N
41,0,0.419753,0.609756,0,0.166667,5.461539,1,P
3143,0.005178,0.482659,0.687878,0.001591,0.054909,6.277186,0.575758,N
45006,0.009817,0.514193,0.595121,0.107941,0.13237,6.029056,0.291221,P
62,0,0.543046,0.741936,0,0.090909,6.137931,0,P
253,0.009747,0.487329,0.624506,0,0.0181,5.524324,0.625,N
1198,0.012757,0.536883,0.800501,0.005008,0.188679,5.786207,0.3,N
2115,0.003521,0.514755,0.763593,0.006147,0.246377,5.779128,0.235294,N
61,0,0.49375,0.803279,0,0.142857,5.176471,1,P
27188,0.007053,0.411994,0.587833,0.09232,0.106818,5.635543,0.510638,P
132,0.002252,0.380631,0.840909,0,0.108108,7.239316,0.75,P
47,0,0.429907,0.595745,0,0.25,5.465116,1,P
804,0.006369,0.484076,0.605721,0.001244,0.116761,5.628777,0.306452,N
11846,0.013469,0.530245,0.828634,0.009286,0.327366,5.618,0.320313,N
2792,0.011067,0.5136,0.750358,0.254656,0.136364,6.162424,0.190476,P
338,0.006579,0.446272,0.745562,0.198225,0.086957,5.483607,1,P
910,0.008531,0.513353,0.751648,0.016484,0.5,6.921331,0.3,N
168,0,0.459799,0.660714,0,0.238095,5.578947,1,P
1851,0.00083,0.454017,0.680173,0.075095,0.257143,5.99596,0.377778,P
6365,0.034533,0.551489,0.828594,0.01304,0.326531,6.961802,0.28125,N
370,0,0.47191,0.702703,0,0.0625,6.666667,1,P
1897,0.003337,0.520801,0.903532,0.002109,0.243728,7.476351,0.485294,N
171,0,0.435484,0.625731,0,0.190476,5.723404,1,P
1026,0.004464,0.456575,0.646199,0.004873,0.055556,5.67834,0.555556,P
2740,0.011719,0.495139,0.770073,0,0.307692,5.794319,0.107143,N
1605,0.017018,0.536957,0.642368,0.117134,0.271845,6.323495,0.571429,N
285,0.013413,0.4307,0.649123,0,0.060606,6.569832,0.5,P
2081,0.028935,0.666667,0.597309,0.011052,0.163366,7.693213,0.181818,N
466,0.000649,0.483139,0.858369,0.002146,0.166667,6.728261,0,P
149,0.002786,0.412256,0.704698,0,0.333333,5.872,0.75,P
337,0,0.439725,0.700297,0.002967,0.272727,6.597744,0.333333,P
181,0.014199,0.490872,0.745856,0.005525,0.2,5.427273,0.25,P
504,0.004711,0.33109,0.547619,0.422619,0.208333,6.839081,0.8,P
2138,0.013564,0.557202,0.710009,0.053321,0.21978,7.104487,0.65,N
437,0,0.465455,0.670481,0,0.097561,7.179402,1,P
101,0.008403,0.462185,0.653465,0.168317,0,5.705128,0,P
7437,0.018005,0.521466,0.852898,0.100444,0.201835,6.721293,0.318182,N
11374,0.002224,0.463719,0.66485,0.06638,0.120294,6.15421,0.687023,P
1488,0.002562,0.444274,0.721102,0.292339,0.096296,5.75217,0.538462,P
2548,0.005175,0.516895,0.717425,0.005102,0.191011,6.902866,0.176471,N
333,0,0.450425,0.615616,0.006006,0.139535,5.579832,0.666667,P
161,0,0.552941,0.73913,0.006211,0.009828,5.772059,0.083333,N
166,0,0.513924,0.753012,0,0.008021,5.5,0.666667,N
124,0,0.429119,0.620968,0,0.608696,5.355556,0.892857,P
671,0,0.392857,0.754098,0.275708,0.05814,4.944598,1,P
371,0.001053,0.484211,0.684636,0.423181,0.608696,4.872549,0.714286,P
2455,0.009456,0.519587,0.903055,0.002444,0.309091,7.584955,0.411765,N
115,0.007042,0.517606,0.721739,0,0.111111,5.698113,1,P
281,0.011527,0.476945,0.644128,0,0.029412,6.014493,1,P
4,0,0.625,0.5,0,0,4.333333,0,P
974,0.011952,0.413679,0.737166,0.010267,0,7.060201,0,P
589,0,0.510088,0.803056,0,0.041667,6.007692,0,P
864,0.002669,0.465747,0.681713,0.100694,0.310345,6.210526,0.388889,P
1567,0.009821,0.479476,0.684748,0.045948,0.143333,5.060104,0.325581,P
755,0.000937,0.427166,0.704636,0.009272,0.288889,6.129252,0.461539,P
772,0.008,0.464,0.729275,0,0.086957,6.520354,0.5,P
9388,0.006765,0.462537,0.752343,0.815829,0.086514,5.231744,0.191177,N
178,0.021938,0.566728,0.938202,0,0.571429,8.937143,1,N
101,0,0.444444,0.683168,0.079208,0,5.081081,0,P
430,0.012872,0.587289,0.855814,0.009302,0,6.66581,0,N
167,0.002375,0.532067,0.640719,0,0.0125,5.945946,0,P
2607,0.040714,0.56026,0.74415,0.069429,0.291926,6.508253,0.297872,N
